YEAR,MO,DY,HR,PRECTOTCORR,Time2
2013,8,13,0,0,126740
2013,8,13,1,0.01,126744
2013,8,13,2,0.02,126748
2013,8,13,3,0.03,126752
2013,8,13,4,0.07,126756
2013,8,13,5,0.26,126760
2013,8,13,6,0.74,126764
2013,8,13,7,3.45,126768
2013,8,13,8,2.69,126772
2013,8,13,9,1.91,126776
2013,8,13,10,2.81,126780
2013,8,13,11,2.86,126784
2013,8,13,12,1.61,126788
2013,8,13,13,0.8,126792
2013,8,13,14,0.39,126796
2013,8,13,15,0.18,126800
2013,8,13,16,0.11,126804
2013,8,13,17,0.11,126808
2013,8,13,18,0.18,126812
2013,8,13,19,0.23,126816
2013,8,13,20,0.21,126820
2013,8,13,21,0.14,126824
2013,8,13,22,0.11,126828
2013,8,13,23,0.03,126832
2013,8,14,0,0,126836
2013,8,14,1,0,126840
2013,8,14,2,0,126844
2013,8,14,3,0,126848
2013,8,14,4,0,126852
2013,8,14,5,0,126856
2013,8,14,6,0,126860
2013,8,14,7,0,126864
2013,8,14,8,0,126868
2013,8,14,9,0,126872
2013,8,14,10,0,126876
2013,8,14,11,0,126880
2013,8,14,12,0,126884
2013,8,14,13,0,126888
2013,8,14,14,0,126892
2013,8,14,15,0,126896
2013,8,14,16,0,126900
2013,8,14,17,0,126904
2013,8,14,18,0,126908
2013,8,14,19,0,126912
2013,8,14,20,0,126916
2013,8,14,21,0,126920
2013,8,14,22,0,126924
2013,8,14,23,0,126928
2013,8,15,0,0,126932
2013,8,15,1,0,126936
2013,8,15,2,0,126940
2013,8,15,3,0,126944
2013,8,15,4,0,126948
2013,8,15,5,0,126952
2013,8,15,6,0,126956
2013,8,15,7,0,126960
2013,8,15,8,0,126964
2013,8,15,9,0,126968
2013,8,15,10,0,126972
2013,8,15,11,0,126976
2013,8,15,12,0,126980
2013,8,15,13,0,126984
2013,8,15,14,0,126988
2013,8,15,15,0,126992
2013,8,15,16,0,126996
2013,8,15,17,0,127000
2013,8,15,18,0,127004
2013,8,15,19,0,127008
2013,8,15,20,0,127012
2013,8,15,21,0,127016
2013,8,15,22,0,127020
2013,8,15,23,0,127024
2013,8,16,0,0,127028
2013,8,16,1,0,127032
2013,8,16,2,0,127036
2013,8,16,3,0,127040
2013,8,16,4,0,127044
2013,8,16,5,0,127048
2013,8,16,6,0,127052
2013,8,16,7,0,127056
2013,8,16,8,0,127060
2013,8,16,9,0,127064
2013,8,16,10,0,127068
2013,8,16,11,0,127072
2013,8,16,12,0,127076
2013,8,16,13,0,127080
2013,8,16,14,0,127084
2013,8,16,15,0,127088
2013,8,16,16,0,127092
2013,8,16,17,0,127096
2013,8,16,18,0,127100
2013,8,16,19,0,127104
2013,8,16,20,0,127108
2013,8,16,21,0,127112
2013,8,16,22,0,127116
2013,8,16,23,0,127120
2013,8,17,0,0,127124
2013,8,17,1,0,127128
2013,8,17,2,0,127132
2013,8,17,3,0,127136
2013,8,17,4,0,127140
2013,8,17,5,0,127144
2013,8,17,6,0,127148
2013,8,17,7,0,127152
2013,8,17,8,0,127156
2013,8,17,9,0,127160
2013,8,17,10,0,127164
2013,8,17,11,0,127168
2013,8,17,12,0,127172
2013,8,17,13,0,127176
2013,8,17,14,0,127180
2013,8,17,15,0,127184
2013,8,17,16,0,127188
2013,8,17,17,0,127192
2013,8,17,18,0,127196
2013,8,17,19,0,127200
2013,8,17,20,0,127204
2013,8,17,21,0,127208
2013,8,17,22,0,127212
2013,8,17,23,0,127216
2013,8,18,0,0,127220
2013,8,18,1,0,127224
2013,8,18,2,0,127228
2013,8,18,3,0,127232
2013,8,18,4,0,127236
2013,8,18,5,0,127240
2013,8,18,6,0,127244
2013,8,18,7,0.01,127248
2013,8,18,8,0.01,127252
2013,8,18,9,0.01,127256
2013,8,18,10,0,127260
2013,8,18,11,0,127264
2013,8,18,12,0,127268
2013,8,18,13,0,127272
2013,8,18,14,0,127276
2013,8,18,15,0,127280
2013,8,18,16,0,127284
2013,8,18,17,0,127288
2013,8,18,18,0,127292
2013,8,18,19,0,127296
2013,8,18,20,0,127300
2013,8,18,21,0,127304
2013,8,18,22,0,127308
2013,8,18,23,0,127312
2013,8,19,0,0,127316
2013,8,19,1,0,127320
2013,8,19,2,0,127324
2013,8,19,3,0,127328
2013,8,19,4,0,127332
2013,8,19,5,0,127336
2013,8,19,6,0,127340
2013,8,19,7,0,127344
2013,8,19,8,0,127348
2013,8,19,9,0,127352
2013,8,19,10,0,127356
2013,8,19,11,0,127360
2013,8,19,12,0,127364
2013,8,19,13,0,127368
2013,8,19,14,0.01,127372
2013,8,19,15,0.01,127376
2013,8,19,16,0,127380
2013,8,19,17,0,127384
2013,8,19,18,0,127388
2013,8,19,19,0,127392
2013,8,19,20,0,127396
2013,8,19,21,0,127400
2013,8,19,22,0,127404
2013,8,19,23,0,127408
2013,8,20,0,0,127412
2013,8,20,1,0,127416
2013,8,20,2,0,127420
2013,8,20,3,0,127424
2013,8,20,4,0,127428
2013,8,20,5,0,127432
2013,8,20,6,0,127436
2013,8,20,7,0,127440
2013,8,20,8,0,127444
2013,8,20,9,0,127448
2013,8,20,10,0,127452
2013,8,20,11,0,127456
2013,8,20,12,0,127460
2013,8,20,13,0,127464
2013,8,20,14,0,127468
2013,8,20,15,0,127472
2013,8,20,16,0,127476
2013,8,20,17,0,127480
2013,8,20,18,0,127484
2013,8,20,19,0,127488
2013,8,20,20,0,127492
2013,8,20,21,0,127496
2013,8,20,22,0,127500
2013,8,20,23,0,127504
2013,8,21,0,0,127508
2013,8,21,1,0,127512
2013,8,21,2,0,127516
2013,8,21,3,0,127520
2013,8,21,4,0,127524
2013,8,21,5,0,127528
2013,8,21,6,0,127532
2013,8,21,7,0,127536
2013,8,21,8,0,127540
2013,8,21,9,0,127544
2013,8,21,10,0,127548
2013,8,21,11,0,127552
2013,8,21,12,0.01,127556
2013,8,21,13,0,127560
2013,8,21,14,0,127564
2013,8,21,15,0,127568
2013,8,21,16,0,127572
2013,8,21,17,0,127576
2013,8,21,18,0,127580
2013,8,21,19,0,127584
2013,8,21,20,0,127588
2013,8,21,21,0,127592
2013,8,21,22,0,127596
2013,8,21,23,0,127600
2013,8,22,0,0,127604
2013,8,22,1,0,127608
2013,8,22,2,0.04,127612
2013,8,22,3,0.24,127616
2013,8,22,4,0.43,127620
2013,8,22,5,0.43,127624
2013,8,22,6,0.25,127628
2013,8,22,7,0.45,127632
2013,8,22,8,0.72,127636
2013,8,22,9,1.01,127640
2013,8,22,10,0.94,127644
2013,8,22,11,0.97,127648
2013,8,22,12,0.78,127652
2013,8,22,13,0.74,127656
2013,8,22,14,0.71,127660
2013,8,22,15,0.62,127664
2013,8,22,16,0.45,127668
2013,8,22,17,0.33,127672
2013,8,22,18,0.26,127676
2013,8,22,19,0.19,127680
2013,8,22,20,0.14,127684
2013,8,22,21,0.15,127688
2013,8,22,22,0.11,127692
2013,8,22,23,0.08,127696
2013,8,23,0,0.05,127700
2013,8,23,1,0.03,127704
2013,8,23,2,0.01,127708
2013,8,23,3,0,127712
2013,8,23,4,0,127716
2013,8,23,5,0,127720
2013,8,23,6,0,127724
2013,8,23,7,0,127728
2013,8,23,8,0,127732
2013,8,23,9,0,127736
2013,8,23,10,0,127740
2013,8,23,11,0,127744
2013,8,23,12,0,127748
2013,8,23,13,0,127752
2013,8,23,14,0,127756
2013,8,23,15,0,127760
2013,8,23,16,0,127764
2013,8,23,17,0,127768
2013,8,23,18,0,127772
2013,8,23,19,0,127776
2013,8,23,20,0,127780
2013,8,23,21,0.01,127784
2013,8,23,22,0.01,127788
2013,8,23,23,0.02,127792
2013,8,24,0,0.01,127796
2013,8,24,1,0.03,127800
2013,8,24,2,0.01,127804
2013,8,24,3,0,127808
2013,8,24,4,0,127812
2013,8,24,5,0,127816
2013,8,24,6,0,127820
2013,8,24,7,0,127824
2013,8,24,8,0,127828
2013,8,24,9,0,127832
2013,8,24,10,0,127836
2013,8,24,11,0,127840
2013,8,24,12,0,127844
2013,8,24,13,0,127848
2013,8,24,14,0,127852
2013,8,24,15,0,127856
2013,8,24,16,0,127860
2013,8,24,17,0,127864
2013,8,24,18,0,127868
2013,8,24,19,0,127872
2013,8,24,20,0,127876
2013,8,24,21,0,127880
2013,8,24,22,0,127884
2013,8,24,23,0,127888
2013,8,25,0,0,127892
2013,8,25,1,0,127896
2013,8,25,2,0,127900
2013,8,25,3,0,127904
2013,8,25,4,0,127908
